Company,Question
TCS,Q. How do you maintain company coding standards?
TCS,Q. Explain the Python installation process.
TCS,Q. Explain OOP concepts.
TCS,Q. What is DevOps?
TCS,Q. Write a Python code to reverse the last k digits of a given number.
TCS,Q. What is your depth of knowledge regarding Java in conjunction with Selenium?
TCS,Q. What is your complete understanding of the Software Development Life Cycle (SDLC) and Software Testing Life Cycle (STLC)?
TCS,Q. What is IPL in Mainframe?
TCS,Q. What is the difference between the '==' operator and the '.equals()' method in Java?
TCS,Q. What annotations are used in a REST API?
TCS,Q. What is the difference between the '==' operator and the '.equals()' method in Java?
TCS,Q. What annotations are used in a REST API?
TCS,Q. What are the steps to create and handle a custom exception in programming?
TCS,Q. What is unsupervised and supervised machine learning?
TCS,Q. What are the various steps of EDA (exploratory data analysis)?
TCS,"Q. In serialization, if a variable is marked as transient, how will it be transmitted over the network?"
TCS,Q. What are some effective strategies for stress management?
TCS,Q. What is meant by SQL queries?
TCS,Q. What is the process for synthesizing data to train a machine learning model with a given minimum number of data points?
TCS,Q. What is the purpose and impact of KYC (Know Your Customer)?
TCS,Q. What is a firewall and how does it work?
TCS,Q. What is a false positive and false negative in security monitoring?
TCS,Q. Explain what encapsulation is.
TCS,Q. What is the difference between an Exception and an Error?
TCS,Q. What Java 8 features did you use in your project?
TCS,Q. How is a packet forwarded from ACI to an outside WAN?
TCS,Q. How does CRM work?
TCS,Q. What is IP?
TCS,Q. What is CloudWatch?
TCS,Q. How can I add EC2 instances in AWS?
TCS,Q. What is the method to count the number of words in a given string?
TCS,Q. What are the key differences between throw and throws keywords in Java?
TCS,Q. What is the workflow of Spring MVC?
TCS,Q. How can you secure your Spring Boot applications? Explain in detail.
TCS,Q. Write a program using Java 8 to find the first non-repeated character in the string 'google'.
TCS,"Q. What are checked exceptions vs. unchecked exceptions in Java, and can you provide details?"
TCS,Q. How do you communicate between two microservices in Spring Boot applications?
TCS,Q. Write a PL/SQL code.
TCS,"Q. What are the differences between int, float, long, and double data types?"
TCS,Q. What is the difference between a materialized view and a view?
TCS,Q. Explain the circuit breaker pattern.
TCS,Q. What are the different ways to pass input into COBOL programs?
TCS,Q. How does the data provider annotation work in TestNG?
TCS,Q. Describe your experience creating packages or libraries in Angular.
TCS,Q. Describe your experience with Angular migration and how you resolved issues that arose during the process.
TCS,Q. What is nvm?
TCS,Q. What is the code to count the number of characters in a string?
TCS,Q. Explain the OOPS concept with examples.
TCS,Q. What are the basic concepts of the programming language in which you have experience?
